Method,Prompt,Stance,F1 score,Sensitivity,Specificity,annotator
gpt2,NA,negative,0.1618,0.7174,0.6548,Annotator
gpt1,NA,negative,0.1686,0.6042,0.7222,Annotator
gpt3,NA,negative,0.1757,0.2826,0.9066,Annotator
gpt4,NA,negative,0.1798,0.3478,0.8783,Annotator
gpt42,NA,negative,0.3005,0.6957,0.8583,Annotator
gpt41,NA,negative,0.2338,0.587,0.8342,Annotator
gpt45,NA,negative,0.303,0.5435,0.9014,Annotator
gpt5,NA,negative,0.1371,0.2609,0.8772,Annotator
gpt6,NA,negative,0.1868,0.3696,0.8751,Annotator
gpt7,NA,negative,0.1558,0.7826,0.6013,Annotator
gpt8,NA,negative,0.1361,0.2174,0.9045,Annotator
mturk,NA,negative,0.0513,0.0294,0.9945,Annotator
gpt43,NA,negative,0.2842,0.587,0.8772,Annotator
gpt44,NA,negative,0.2981,0.5217,0.9045,Annotator
gpt46,NA,negative,0.2857,0.4783,0.9098,Annotator
gpt47,NA,negative,0.3333,0.4783,0.9328,Annotator
gpt48,NA,negative,0.3546,0.5435,0.9265,Annotator
mistral2,NA,negative,0.2257,0.6304,0.8084,Annotator
mistral1,NA,negative,0.216,0.6458,0.7829,Annotator
mistral3,NA,negative,0.2179,0.7391,0.7558,Annotator
mistral4,NA,negative,0.2043,0.8261,0.6968,Annotator
mistral5,NA,negative,0.1823,0.7826,0.6705,Annotator
mistral6,NA,negative,0.191,0.7826,0.6895,Annotator
mistral7,NA,negative,0.1908,0.6304,0.7589,Annotator
mistral8,NA,negative,0.2147,0.7609,0.7421,Annotator
mixtral2,NA,negative,0.1644,0.7826,0.6253,Annotator
mixtral1,NA,negative,0.1907,0.7708,0.6837,Annotator
mixtral3,NA,negative,0.1957,0.7826,0.6989,Annotator
mixtral4,NA,negative,0.2294,0.6957,0.7884,Annotator
mixtral5,NA,negative,0.2679,0.6522,0.8442,Annotator
mixtral6,NA,negative,0.2169,0.587,0.8147,Annotator
mixtral7,NA,negative,0.2049,0.5435,0.8179,Annotator
mixtral8,NA,negative,0.2283,0.5435,0.8442,Annotator
vader,NA,negative,0.1831,0.3714,0.8698,Annotator
