Method,Prompt,Stance,F1 score,Sensitivity,Specificity,annotator
gpt2,NA,positive,0.549,0.4498,0.8124,General public
gpt1,NA,positive,0.5904,0.5119,0.7782,General public
gpt3,NA,positive,0.1365,0.0743,0.986,General public
gpt4,NA,positive,0.2908,0.1787,0.9501,General public
gpt42,NA,positive,0.2963,0.1767,0.984,General public
gpt41,NA,positive,0.3516,0.2249,0.9461,General public
gpt45,NA,positive,0.3003,0.1827,0.9661,General public
gpt5,NA,positive,0.255,0.1546,0.9421,General public
gpt6,NA,positive,0.2327,0.1386,0.9481,General public
gpt7,NA,positive,0.2801,0.1707,0.9521,General public
gpt8,NA,positive,0.2986,0.1928,0.9022,General public
mturk,NA,positive,0.3614,0.2667,0.838,General public
gpt43,NA,positive,0.1544,0.0843,0.992,General public
gpt44,NA,positive,0.2624,0.1546,0.976,General public
gpt46,NA,positive,0.2694,0.1606,0.9681,General public
gpt47,NA,positive,0.2709,0.1627,0.9621,General public
gpt48,NA,positive,0.3533,0.2249,0.9521,General public
mistral2,NA,positive,0.3328,0.2097,0.95,General public
mistral1,NA,positive,0.3676,0.2351,0.9563,General public
mistral3,NA,positive,0.3333,0.2117,0.942,General public
mistral4,NA,positive,0.3933,0.2621,0.93,General public
mistral5,NA,positive,0.3879,0.2581,0.928,General public
mistral6,NA,positive,0.356,0.2319,0.93,General public
mistral7,NA,positive,0.5013,0.3851,0.85,General public
mistral8,NA,positive,0.4018,0.2702,0.926,General public
mixtral2,NA,positive,0.417,0.2863,0.914,General public
mixtral1,NA,positive,0.3733,0.239,0.9583,General public
mixtral3,NA,positive,0.1311,0.0706,0.994,General public
mixtral4,NA,positive,0.2154,0.121,0.998,General public
mixtral5,NA,positive,0.1881,0.1048,0.99,General public
mixtral6,NA,positive,0.1176,0.0625,1,General public
mixtral7,NA,positive,0.2513,0.1452,0.99,General public
mixtral8,NA,positive,0.3231,0.2016,0.954,General public
vader,NA,positive,0.2774,0.1879,0.8712,General public
