Method,Prompt,Accuracy,Accuracy (95% CI),Accuracy (p-value)
GPT 4,7,0.7818,(0.7549 - 0.807),0.872005
GPT 4,8,0.7698,(0.7424 - 0.7955),0.980098
GPT 4,4,0.7668,(0.7393 - 0.7927),0.988812
GPT 4,3,0.7588,(0.731 - 0.785),0.998067
GPT 4,6,0.7588,(0.731 - 0.785),0.998067
GPT 4,5,0.7578,(0.73 - 0.784),0.998483
GPT 3.5,3,0.7554,(0.7359 - 0.7741),0.999994
Amazon Mturk,None,0.7447,(0.712 - 0.7754),0.995968
GPT 4,2,0.7397,(0.7113 - 0.7667),0.999992
"Mixtral 
(8x7B)",5,0.7179,(0.6975 - 0.7376),1
GPT 3.5,6,0.7033,(0.6827 - 0.7232),1
"Mixtral 
(8x7B)",8,0.6958,(0.6751 - 0.7159),1
"Mixtral 
(8x7B)",6,0.6948,(0.674 - 0.715),1
GPT 3.5,4,0.6947,(0.674 - 0.7149),1
"Mixtral 
(8x7B)",7,0.6918,(0.671 - 0.712),1
GPT 3.5,5,0.6887,(0.6679 - 0.709),1
"Mixtral 
(8x7B)",4,0.6878,(0.6669 - 0.7081),1
GPT 3.5,8,0.6802,(0.6592 - 0.7006),1
GPT 4,1,0.6707,(0.6406 - 0.6998),1
Vader,None,0.6697,(0.635 - 0.7032),1
"Llama3 
(70B)",5,0.6687,(0.6475 - 0.6893),1
"Llama3 
(70B)",4,0.6667,(0.6455 - 0.6874),1
"Llama3 
(70B)",6,0.6657,(0.6445 - 0.6864),1
"Llama3 
(70B)",8,0.6536,(0.6323 - 0.6745),1
"Llama3 
(70B)",3,0.6536,(0.6323 - 0.6745),1
"Mistral 
(7B)",2,0.6324,(0.6106 - 0.6538),1
"Mistral 
(7B)",1,0.6153,(0.5936 - 0.6366),1
"Llama3 
(70B)",7,0.6104,(0.5886 - 0.6319),1
"Mixtral 
(8x7B)",3,0.6074,(0.5856 - 0.629),1
"Mistral 
(7B)",3,0.5813,(0.5593 - 0.6031),1
"Llama3 
(8B)",2,0.5682,(0.5459 - 0.5902),1
"Mistral 
(7B)",8,0.5522,(0.5301 - 0.5742),1
"Llama3 
(70B)",2,0.5504,(0.5281 - 0.5726),1
"Mixtral 
(8x7B)",1,0.5328,(0.5107 - 0.5548),1
"Mistral 
(7B)",4,0.509,(0.4868 - 0.5312),1
"Mistral 
(7B)",6,0.506,(0.4838 - 0.5282),1
"Mistral 
(7B)",7,0.503,(0.4808 - 0.5252),1
GPT 3.5,7,0.4952,(0.4731 - 0.5174),1
"Mistral 
(7B)",5,0.488,(0.4658 - 0.5102),1
"Llama3 
(8B)",8,0.4669,(0.4448 - 0.4891),1
"Mixtral 
(8x7B)",2,0.4521,(0.43 - 0.4745),1
"Llama3 
(8B)",3,0.4373,(0.4154 - 0.4594),1
"Llama3 
(8B)",1,0.4048,(0.3832 - 0.4266),1
"Llama3 
(70B)",1,0.4026,(0.3811 - 0.4244),1
GPT 3.5,2,0.3849,(0.3633 - 0.4068),1
GPT 3.5,1,0.3798,(0.3585 - 0.4014),1
"Llama3 
(8B)",4,0.334,(0.3133 - 0.3552),1
"Llama3 
(8B)",7,0.2718,(0.2524 - 0.2919),1
"Llama3 
(8B)",6,0.2593,(0.2402 - 0.2791),1
"Llama3 
(8B)",5,0.2447,(0.226 - 0.2642),1
