Method,Prompt,Stance,F1 score,Sensitivity,Specificity,annotator
gpt2,NA,negative,0.1588,0.7805,0.6555,Co-author (1)
gpt1,NA,negative,0.1775,0.7143,0.7249,Co-author (1)
gpt3,NA,negative,0.2517,0.439,0.9123,Co-author (1)
gpt4,NA,negative,0.2081,0.439,0.881,Co-author (1)
gpt42,NA,negative,0.2885,0.7317,0.857,Co-author (1)
gpt41,NA,negative,0.2212,0.6098,0.833,Co-author (1)
gpt45,NA,negative,0.275,0.5366,0.8987,Co-author (1)
gpt5,NA,negative,0.2118,0.439,0.8841,Co-author (1)
gpt6,NA,negative,0.226,0.4878,0.8789,Co-author (1)
gpt7,NA,negative,0.1532,0.8537,0.6023,Co-author (1)
gpt8,NA,negative,0.2113,0.3659,0.9102,Co-author (1)
mturk,NA,negative,0.1,0.0571,0.9958,Co-author (1)
gpt43,NA,negative,0.2595,0.5854,0.8747,Co-author (1)
gpt44,NA,negative,0.3077,0.5854,0.905,Co-author (1)
gpt46,NA,negative,0.3087,0.561,0.9113,Co-author (1)
gpt47,NA,negative,0.3307,0.5122,0.9322,Co-author (1)
gpt48,NA,negative,0.3529,0.5854,0.9259,Co-author (1)
mistral2,NA,negative,0.246,0.7561,0.8115,Co-author (1)
mistral1,NA,negative,0.2278,0.7619,0.7853,Co-author (1)
mistral3,NA,negative,0.2215,0.8293,0.7571,Co-author (1)
mistral4,NA,negative,0.1907,0.8537,0.6953,Co-author (1)
mistral5,NA,negative,0.1846,0.878,0.6723,Co-author (1)
mistral6,NA,negative,0.1989,0.9024,0.6921,Co-author (1)
mistral7,NA,negative,0.194,0.7073,0.7602,Co-author (1)
mistral8,NA,negative,0.2118,0.8293,0.7424,Co-author (1)
mixtral2,NA,negative,0.1801,0.9512,0.6304,Co-author (1)
mixtral1,NA,negative,0.1937,0.881,0.6857,Co-author (1)
mixtral3,NA,negative,0.2039,0.9024,0.7016,Co-author (1)
mixtral4,NA,negative,0.2336,0.7805,0.7895,Co-author (1)
mixtral5,NA,negative,0.2557,0.6829,0.8429,Co-author (1)
mixtral6,NA,negative,0.2213,0.6585,0.8157,Co-author (1)
mixtral7,NA,negative,0.2092,0.6098,0.8188,Co-author (1)
mixtral8,NA,negative,0.271,0.7073,0.8492,Co-author (1)
vader,NA,negative,0.2098,0.4167,0.8724,Co-author (1)
