Method,Prompt,Accuracy,Accuracy (95% CI),Accuracy (p-value)
GPT 4,7,0.8258,(0.8009 - 0.8489),0.999992
GPT 3.5,3,0.8226,(0.8051 - 0.8391),1
GPT 4,6,0.8138,(0.7883 - 0.8375),1
GPT 4,3,0.8118,(0.7862 - 0.8356),1
GPT 4,4,0.8048,(0.7788 - 0.829),1
GPT 4,8,0.8018,(0.7757 - 0.8261),1
GPT 4,5,0.7968,(0.7705 - 0.8213),1
GPT 4,2,0.7718,(0.7445 - 0.7975),1
"Mixtral 
(8x7B)",5,0.7671,(0.7479 - 0.7855),1
GPT 3.5,6,0.7644,(0.7452 - 0.7829),1
Amazon Mturk,None,0.7593,(0.7271 - 0.7893),1
"Mixtral 
(8x7B)",6,0.751,(0.7314 - 0.7699),1
GPT 3.5,5,0.7509,(0.7313 - 0.7697),1
GPT 3.5,4,0.7439,(0.7241 - 0.7629),1
GPT 3.5,8,0.7434,(0.7236 - 0.7624),1
"Mixtral 
(8x7B)",7,0.738,(0.718 - 0.7572),1
"Mixtral 
(8x7B)",8,0.7369,(0.717 - 0.7562),1
"Mixtral 
(8x7B)",4,0.7249,(0.7047 - 0.7444),1
GPT 4,1,0.7037,(0.6743 - 0.7319),1
"Mistral 
(7B)",2,0.696,(0.6751 - 0.7163),1
Vader,None,0.6882,(0.6539 - 0.7211),1
"Llama3 
(70B)",5,0.6878,(0.6669 - 0.7081),1
"Llama3 
(70B)",4,0.6817,(0.6608 - 0.7022),1
"Llama3 
(70B)",6,0.6747,(0.6536 - 0.6953),1
"Llama3 
(70B)",8,0.6697,(0.6485 - 0.6903),1
"Mistral 
(7B)",1,0.665,(0.6439 - 0.6856),1
"Llama3 
(70B)",3,0.6637,(0.6424 - 0.6844),1
"Mixtral 
(8x7B)",3,0.6596,(0.6384 - 0.6804),1
"Mistral 
(7B)",3,0.6315,(0.6099 - 0.6528),1
"Llama3 
(70B)",7,0.6155,(0.5937 - 0.6369),1
"Mistral 
(7B)",8,0.5894,(0.5674 - 0.6111),1
"Llama3 
(8B)",2,0.5849,(0.5628 - 0.6068),1
"Mixtral 
(8x7B)",1,0.5716,(0.5496 - 0.5933),1
"Mistral 
(7B)",6,0.5542,(0.5321 - 0.5762),1
"Mistral 
(7B)",4,0.5472,(0.525 - 0.5692),1
"Llama3 
(70B)",2,0.5326,(0.5102 - 0.5548),1
"Mistral 
(7B)",5,0.5221,(0.4999 - 0.5442),1
"Mistral 
(7B)",7,0.5161,(0.4939 - 0.5382),1
GPT 3.5,7,0.5123,(0.4901 - 0.5344),1
"Llama3 
(8B)",8,0.4819,(0.4598 - 0.5041),1
"Mixtral 
(8x7B)",2,0.4791,(0.4568 - 0.5015),1
"Llama3 
(8B)",3,0.4599,(0.4378 - 0.4821),1
"Llama3 
(8B)",1,0.4325,(0.4108 - 0.4545),1
GPT 3.5,1,0.3966,(0.3752 - 0.4184),1
GPT 3.5,2,0.3742,(0.3527 - 0.396),1
"Llama3 
(70B)",1,0.3668,(0.3457 - 0.3883),1
"Llama3 
(8B)",4,0.3144,(0.2941 - 0.3353),1
"Llama3 
(8B)",7,0.2397,(0.2211 - 0.2591),1
"Llama3 
(8B)",6,0.2337,(0.2153 - 0.2529),1
"Llama3 
(8B)",5,0.2192,(0.2012 - 0.238),1
