Method,Prompt,Stance,F1 score,Sensitivity,Specificity,annotator
gpt2,NA,positive,0.2228,0.5233,0.701,Co-author (1)
gpt2,NA,neutral,0.5004,0.3417,0.8346,Co-author (1)
gpt2,NA,negative,0.1588,0.7805,0.6555,Co-author (1)
gpt1,NA,positive,0.2222,0.573,0.6533,Co-author (1)
gpt1,NA,neutral,0.5225,0.3633,0.8168,Co-author (1)
gpt1,NA,negative,0.1775,0.7143,0.7249,Co-author (1)
gpt3,NA,positive,0.3538,0.2674,0.977,Co-author (1)
gpt3,NA,neutral,0.9055,0.8956,0.4331,Co-author (1)
gpt3,NA,negative,0.2517,0.439,0.9123,Co-author (1)
gpt4,NA,positive,0.33,0.3837,0.9113,Co-author (1)
gpt4,NA,neutral,0.8517,0.7936,0.5197,Co-author (1)
gpt4,NA,negative,0.2081,0.439,0.881,Co-author (1)
gpt42,NA,positive,0.4396,0.4651,0.9387,Co-author (1)
gpt42,NA,neutral,0.8719,0.8039,0.7244,Co-author (1)
gpt42,NA,negative,0.2885,0.7317,0.857,Co-author (1)
gpt41,NA,positive,0.3733,0.4884,0.8938,Co-author (1)
gpt41,NA,neutral,0.8222,0.7294,0.6929,Co-author (1)
gpt41,NA,negative,0.2212,0.6098,0.833,Co-author (1)
gpt45,NA,positive,0.4742,0.5349,0.9321,Co-author (1)
gpt45,NA,neutral,0.8856,0.8349,0.6535,Co-author (1)
gpt45,NA,negative,0.275,0.5366,0.8987,Co-author (1)
gpt5,NA,positive,0.3021,0.3372,0.9157,Co-author (1)
gpt5,NA,neutral,0.8594,0.8062,0.5197,Co-author (1)
gpt5,NA,negative,0.2118,0.439,0.8841,Co-author (1)
gpt6,NA,positive,0.3867,0.407,0.9343,Co-author (1)
gpt6,NA,neutral,0.8646,0.8131,0.5354,Co-author (1)
gpt6,NA,negative,0.226,0.4878,0.8789,Co-author (1)
gpt7,NA,positive,0.3282,0.3721,0.9157,Co-author (1)
gpt7,NA,neutral,0.6597,0.5092,0.7638,Co-author (1)
