Method,Prompt,Stance,F1 score,Sensitivity,Specificity,annotator
gpt2,NA,negative,0.4498,0.6875,0.7072,Co-author (2)
gpt1,NA,negative,0.4168,0.5531,0.7627,Co-author (2)
gpt3,NA,negative,0.2878,0.2273,0.9247,Co-author (2)
gpt4,NA,negative,0.3506,0.3068,0.9052,Co-author (2)
gpt42,NA,negative,0.4548,0.4432,0.8919,Co-author (2)
gpt41,NA,negative,0.4432,0.4545,0.8724,Co-author (2)
gpt45,NA,negative,0.4271,0.358,0.932,Co-author (2)
gpt5,NA,negative,0.3475,0.3011,0.9077,Co-author (2)
gpt6,NA,negative,0.359,0.3182,0.9028,Co-author (2)
gpt7,NA,negative,0.4189,0.7045,0.6452,Co-author (2)
gpt8,NA,negative,0.2816,0.2216,0.9247,Co-author (2)
mturk,NA,negative,0.0734,0.0385,0.9985,Co-author (2)
gpt43,NA,negative,0.4125,0.375,0.9052,Co-author (2)
gpt44,NA,negative,0.3918,0.3239,0.9295,Co-author (2)
gpt46,NA,negative,0.4014,0.3239,0.938,Co-author (2)
gpt47,NA,negative,0.374,0.2784,0.955,Co-author (2)
gpt48,NA,negative,0.3985,0.3068,0.9502,Co-author (2)
mistral2,NA,negative,0.4186,0.4602,0.8415,Co-author (2)
mistral1,NA,negative,0.4402,0.514,0.8222,Co-author (2)
mistral3,NA,negative,0.4706,0.5909,0.8024,Co-author (2)
mistral4,NA,negative,0.4821,0.6875,0.75,Co-author (2)
mistral5,NA,negative,0.4762,0.7102,0.7268,Co-author (2)
mistral6,NA,negative,0.4694,0.6761,0.7415,Co-author (2)
mistral7,NA,negative,0.4516,0.5568,0.8049,Co-author (2)
mistral8,NA,negative,0.5044,0.6534,0.7988,Co-author (2)
mixtral2,NA,negative,0.4613,0.7443,0.6817,Co-author (2)
mixtral1,NA,negative,0.4701,0.6816,0.7364,Co-author (2)
mixtral3,NA,negative,0.4779,0.6761,0.7524,Co-author (2)
mixtral4,NA,negative,0.4792,0.5568,0.8354,Co-author (2)
mixtral5,NA,negative,0.4802,0.483,0.8866,Co-author (2)
mixtral6,NA,negative,0.4591,0.4943,0.8585,Co-author (2)
mixtral7,NA,negative,0.4545,0.483,0.8622,Co-author (2)
mixtral8,NA,negative,0.4642,0.4602,0.8878,Co-author (2)
vader,NA,negative,0.283,0.2857,0.8819,Co-author (2)
